epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.97277,1.20445,4.92379,1.3362,0,0,0,0,0.65156,4.66984,0.92402,1.568e-05,1.568e-05,1.568e-05
2,10.4675,0.9536,4.86131,1.18239,0,0,0,0,0.63765,4.65357,0.89257,3.31551e-05,3.31551e-05,3.31551e-05
3,14.548,0.72114,4.7027,1.01375,0,0,0,0,0.58847,4.59941,0.85689,5.04555e-05,5.04555e-05,5.04555e-05
4,18.4135,0.62357,4.55701,0.95072,0,0,0,0,0.50498,4.52088,0.80981,6.75813e-05,6.75813e-05,6.75813e-05
5,22.2616,0.60653,4.49858,0.92427,0,0,0,0,0.52482,4.28136,0.78432,8.45324e-05,8.45324e-05,8.45324e-05
6,26.0697,0.57111,4.389,0.89662,0.00236,0.00193,0.00129,0.00129,0.48963,4.20877,0.77646,0.000101309,0.000101309,0.000101309
7,29.811,0.54514,4.32873,0.90302,0.02332,0.02282,0.01748,0.01577,0.45806,4.16156,0.77253,0.000117911,0.000117911,0.000117911
8,33.688,0.52611,4.2375,0.88001,0.03479,0.04699,0.03145,0.02866,0.47817,4.12673,0.77779,0.000134338,0.000134338,0.000134338
9,37.4266,0.5256,4.18345,0.88103,0.02217,0.12151,0.02253,0.02102,0.45629,4.07527,0.77826,0.000150591,0.000150591,0.000150591
10,41.105,0.51519,4.13157,0.86994,0.02382,0.14856,0.03059,0.02871,0.45112,4.05603,0.77822,0.000166669,0.000166669,0.000166669
11,44.8156,0.51949,4.03591,0.87494,0.01962,0.18326,0.02894,0.02657,0.45049,4.04151,0.78213,0.000182572,0.000182572,0.000182572
12,48.5568,0.49923,3.97847,0.86116,0.02976,0.28689,0.05057,0.04616,0.42588,3.96782,0.78706,0.000185328,0.000185328,0.000185328
13,52.2177,0.47055,3.89737,0.88279,0.03124,0.39557,0.06116,0.05595,0.42818,3.90084,0.78983,0.000184358,0.000184358,0.000184358
14,55.9881,0.49716,3.8886,0.87276,0.0266,0.4578,0.06645,0.06104,0.43077,3.81023,0.79563,0.000183387,0.000183387,0.000183387
15,59.7095,0.47483,3.76742,0.879,0.02309,0.53976,0.07641,0.07026,0.42333,3.69528,0.79933,0.000182417,0.000182417,0.000182417
16,63.4587,0.49324,3.73152,0.88412,0.02125,0.56708,0.07201,0.06599,0.4307,3.60817,0.8115,0.000181447,0.000181447,0.000181447
17,67.2436,0.47328,3.60171,0.88092,0.02257,0.58725,0.07777,0.07238,0.42058,3.61511,0.81514,0.000180477,0.000180477,0.000180477
18,70.9912,0.46234,3.57548,0.87753,0.0229,0.62483,0.08906,0.08265,0.41458,3.52312,0.81626,0.000179507,0.000179507,0.000179507
19,74.7287,0.48655,3.54455,0.87539,0.45914,0.11196,0.09742,0.09083,0.41169,3.33948,0.81491,0.000178536,0.000178536,0.000178536
20,78.5737,0.48392,3.44442,0.90321,0.40834,0.1252,0.10383,0.09537,0.4285,3.15219,0.81623,0.000177566,0.000177566,0.000177566
21,82.3053,0.4683,3.41307,0.89798,0.42244,0.16105,0.10708,0.0978,0.43951,3.17814,0.82783,0.000176596,0.000176596,0.000176596
22,86.0187,0.504,3.37953,0.88844,0.3884,0.21367,0.11576,0.10552,0.42934,3.12151,0.8236,0.000175626,0.000175626,0.000175626
23,89.9486,0.49549,3.25782,0.90064,0.35602,0.23963,0.12805,0.11687,0.42613,2.99383,0.82749,0.000174656,0.000174656,0.000174656
24,93.7641,0.46553,3.19045,0.8978,0.36296,0.29356,0.12528,0.11535,0.45995,2.88781,0.84905,0.000173685,0.000173685,0.000173685
25,97.5059,0.47982,3.14465,0.89889,0.39266,0.29173,0.13119,0.12079,0.45107,2.82984,0.84772,0.000172715,0.000172715,0.000172715
26,101.209,0.46417,3.10983,0.89009,0.37498,0.25566,0.14267,0.12927,0.45294,2.75029,0.86388,0.000171745,0.000171745,0.000171745
27,104.936,0.48135,3.12918,0.89648,0.37764,0.25744,0.17211,0.15571,0.44469,2.71271,0.86837,0.000170775,0.000170775,0.000170775
28,108.789,0.47365,2.97583,0.91982,0.41823,0.32124,0.20642,0.18645,0.45135,2.57393,0.88358,0.000169805,0.000169805,0.000169805
29,112.53,0.46877,2.9364,0.89494,0.4053,0.33853,0.21103,0.19019,0.45191,2.51045,0.88707,0.000168834,0.000168834,0.000168834
30,116.265,0.46821,2.88517,0.91046,0.42102,0.31914,0.2226,0.2045,0.43386,2.42156,0.89003,0.000167864,0.000167864,0.000167864
31,120.029,0.46301,2.85031,0.92301,0.44887,0.31953,0.2316,0.21469,0.42213,2.3563,0.89632,0.000166894,0.000166894,0.000166894
32,123.87,0.47546,2.72746,0.92402,0.59466,0.23103,0.24405,0.22338,0.43676,2.33315,0.89426,0.000165924,0.000165924,0.000165924
33,127.592,0.46168,2.63723,0.91755,0.55821,0.29195,0.27458,0.25352,0.42459,2.2816,0.90049,0.000164954,0.000164954,0.000164954
34,131.308,0.46163,2.58005,0.92517,0.62768,0.29823,0.29855,0.27602,0.45571,2.23148,0.91478,0.000163983,0.000163983,0.000163983
35,134.967,0.46395,2.58625,0.91032,0.55377,0.30611,0.30246,0.27942,0.46701,2.196,0.92937,0.000163013,0.000163013,0.000163013
36,138.826,0.46886,2.5683,0.9146,0.47427,0.34115,0.31631,0.29507,0.43103,2.14391,0.91174,0.000162043,0.000162043,0.000162043
37,142.51,0.46615,2.57406,0.9242,0.39966,0.38925,0.31571,0.29122,0.42978,2.16774,0.90253,0.000161073,0.000161073,0.000161073
38,146.183,0.45635,2.58594,0.91562,0.53714,0.30053,0.3379,0.31331,0.41931,2.18891,0.90091,0.000160103,0.000160103,0.000160103
39,149.984,0.46123,2.59133,0.94588,0.56384,0.31266,0.36094,0.33193,0.43904,2.08793,0.91058,0.000159132,0.000159132,0.000159132
40,153.763,0.45838,2.34395,0.92489,0.47224,0.44242,0.40006,0.36909,0.42234,1.9904,0.9031,0.000158162,0.000158162,0.000158162
41,157.499,0.43257,2.34486,0.89774,0.42527,0.49542,0.40184,0.37167,0.42602,1.94439,0.89675,0.000157192,0.000157192,0.000157192
42,161.247,0.47649,2.31621,0.94838,0.50185,0.42397,0.38694,0.36195,0.41829,1.94569,0.89091,0.000156222,0.000156222,0.000156222
43,164.968,0.45914,2.26264,0.92537,0.49939,0.45826,0.41393,0.38344,0.43639,1.98248,0.90585,0.000155252,0.000155252,0.000155252
44,168.807,0.45716,2.3029,0.92647,0.3892,0.52048,0.4386,0.40766,0.42358,1.86948,0.91392,0.000154281,0.000154281,0.000154281
45,172.611,0.45234,2.2166,0.90658,0.42134,0.48069,0.4426,0.41251,0.43081,1.82279,0.91215,0.000153311,0.000153311,0.000153311
46,176.369,0.46121,2.17373,0.93545,0.4711,0.43208,0.42111,0.39032,0.42519,1.78858,0.90899,0.000152341,0.000152341,0.000152341
47,180.098,0.43847,2.0065,0.92929,0.35887,0.5233,0.44445,0.41191,0.42048,1.7143,0.91353,0.000151371,0.000151371,0.000151371
48,183.859,0.44019,2.19412,0.91867,0.52797,0.45801,0.47699,0.43471,0.45507,1.68787,0.9141,0.000150401,0.000150401,0.000150401
49,187.581,0.46026,2.09952,0.91541,0.35015,0.55207,0.47271,0.43755,0.41849,1.67744,0.89777,0.00014943,0.00014943,0.00014943
50,191.328,0.42574,2.09261,0.90087,0.37684,0.55714,0.46821,0.43649,0.42973,1.68264,0.9174,0.00014846,0.00014846,0.00014846
51,195.042,0.4422,1.99066,0.92339,0.39065,0.5624,0.47403,0.43999,0.41064,1.68978,0.90985,0.00014749,0.00014749,0.00014749
52,198.805,0.43316,1.97489,0.91805,0.58525,0.43623,0.52188,0.48651,0.40956,1.70527,0.9074,0.00014652,0.00014652,0.00014652
53,202.545,0.45084,1.98746,0.93103,0.58844,0.45968,0.5333,0.49779,0.40583,1.63718,0.90548,0.00014555,0.00014555,0.00014555
54,206.265,0.42533,1.89076,0.8888,0.4696,0.55472,0.54224,0.50713,0.40471,1.58229,0.90612,0.000144579,0.000144579,0.000144579
55,209.974,0.44234,1.8875,0.91886,0.5233,0.5173,0.54545,0.51072,0.40441,1.60676,0.89921,0.000143609,0.000143609,0.000143609
56,213.764,0.42902,1.845,0.90097,0.4715,0.59586,0.57114,0.53537,0.39545,1.47943,0.90118,0.000142639,0.000142639,0.000142639
57,217.518,0.43233,1.83487,0.92939,0.47687,0.61431,0.58448,0.54689,0.39312,1.44834,0.90697,0.000141669,0.000141669,0.000141669
58,221.23,0.42964,1.87745,0.92306,0.55813,0.59833,0.60102,0.55904,0.40742,1.44427,0.91126,0.000140699,0.000140699,0.000140699
59,224.978,0.41431,1.85699,0.91345,0.54399,0.59972,0.58632,0.54508,0.41622,1.43111,0.91211,0.000139728,0.000139728,0.000139728
60,228.883,0.42872,1.80237,0.90934,0.42299,0.66072,0.60074,0.56055,0.41431,1.37787,0.92257,0.000138758,0.000138758,0.000138758
61,232.682,0.445,1.73846,0.94218,0.4018,0.72041,0.61323,0.57112,0.4019,1.33953,0.91203,0.000137788,0.000137788,0.000137788
