epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.17973,1.14737,4.89096,1.31537,0,0,0,0,0.62499,4.6498,0.88209,3.73333e-05,3.73333e-05,3.73333e-05
2,17.0842,0.74519,4.64849,1.03365,0,0,0,0,0.47478,4.36353,0.78817,7.65287e-05,7.65287e-05,7.65287e-05
3,24.7842,0.63555,4.41402,0.95134,0,0,0,0,0.45744,4.22231,0.77757,0.000115705,0.000115705,0.000115705
4,32.4502,0.60804,4.24451,0.93721,0.01088,0.06522,0.01122,0.00994,0.44788,4.09752,0.78429,0.000154848,0.000154848,0.000154848
5,40.0438,0.59595,4.09336,0.9455,0.01772,0.35122,0.03181,0.02923,0.43679,3.89693,0.78927,0.000193944,0.000193944,0.000193944
6,47.5997,0.54554,3.98522,0.91282,0.02044,0.46141,0.04798,0.0443,0.42881,3.7336,0.80543,0.000195701,0.000195701,0.000195701
7,55.162,0.55293,3.79271,0.935,0.02192,0.61721,0.05897,0.0545,0.43853,3.52215,0.8256,0.000195569,0.000195569,0.000195569
8,62.786,0.55823,3.66782,0.93938,0.40838,0.18409,0.06817,0.0619,0.43457,3.19581,0.8357,0.000195414,0.000195414,0.000195414
9,70.3042,0.54769,3.53789,0.94148,0.39678,0.18043,0.10982,0.09953,0.43139,3.00896,0.83223,0.000195235,0.000195235,0.000195235
10,77.8606,0.5887,3.40894,0.96251,0.39527,0.17198,0.13612,0.12278,0.42815,2.90996,0.83809,0.000195032,0.000195032,0.000195032
11,85.377,0.54879,3.18334,0.94347,0.38147,0.23527,0.15088,0.13828,0.42733,2.7925,0.84187,0.000194806,0.000194806,0.000194806
12,93.0344,0.55289,3.09881,0.98252,0.30848,0.34771,0.16272,0.14304,0.47115,2.6508,0.8997,0.000194555,0.000194555,0.000194555
13,100.56,0.56526,2.94531,0.98109,0.38583,0.35912,0.18039,0.16423,0.42158,2.58364,0.86048,0.000194282,0.000194282,0.000194282
14,108.077,0.55623,2.92244,0.97116,0.38826,0.35835,0.21238,0.19526,0.41962,2.43157,0.86194,0.000193984,0.000193984,0.000193984
15,115.792,0.52241,2.77322,0.9514,0.42796,0.37274,0.22811,0.20816,0.43299,2.44581,0.8537,0.000193663,0.000193663,0.000193663
16,123.44,0.54405,2.71009,0.96119,0.48032,0.32177,0.26286,0.23865,0.42596,2.26207,0.89197,0.000193319,0.000193319,0.000193319
17,131.094,0.53139,2.65227,0.96565,0.44438,0.31351,0.3078,0.28308,0.42132,2.12264,0.88184,0.000192952,0.000192952,0.000192952
18,138.688,0.5125,2.53777,0.95889,0.38324,0.33258,0.32435,0.29633,0.41046,2.10686,0.87416,0.000192561,0.000192561,0.000192561
19,146.182,0.50587,2.47081,0.9525,0.41186,0.44591,0.36867,0.34148,0.41742,1.98694,0.88446,0.000192148,0.000192148,0.000192148
20,153.852,0.49821,2.39987,0.94662,0.36211,0.43504,0.37304,0.34359,0.43263,1.90207,0.89764,0.000191711,0.000191711,0.000191711
21,161.435,0.48204,2.23073,0.94115,0.41063,0.44826,0.41252,0.37932,0.42755,1.84981,0.89925,0.000191252,0.000191252,0.000191252
22,168.954,0.50391,2.26427,0.9601,0.45281,0.48194,0.43819,0.40556,0.41832,1.80694,0.90102,0.000190769,0.000190769,0.000190769
23,176.474,0.49983,2.21249,0.94762,0.43631,0.47773,0.45556,0.41781,0.44196,1.69063,0.90595,0.000190264,0.000190264,0.000190264
