epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.42256,1.16125,4.91029,1.31549,0,0,0,0,0.59138,4.63784,0.87232,3.73333e-05,3.73333e-05,3.73333e-05
2,17.2522,0.71891,4.65593,1.02343,0,0,0,0,0.50141,4.33025,0.78974,7.65287e-05,7.65287e-05,7.65287e-05
3,24.9615,0.61593,4.40045,0.94847,0.02128,0.01064,0.01596,0.01277,0.48691,4.18947,0.77861,0.000115705,0.000115705,0.000115705
4,32.6909,0.58755,4.24957,0.94188,0.02266,0.17755,0.02701,0.02494,0.45761,4.04983,0.7773,0.000154848,0.000154848,0.000154848
5,40.2455,0.5652,4.09505,0.93375,0.02182,0.39347,0.04441,0.04136,0.43693,3.87366,0.79696,0.000193944,0.000193944,0.000193944
6,47.6223,0.53693,3.95155,0.91295,0.02518,0.47783,0.06597,0.06144,0.41332,3.76469,0.81148,0.000195701,0.000195701,0.000195701
7,55.1722,0.55093,3.78433,0.92851,0.02446,0.59267,0.07026,0.06427,0.42395,3.60837,0.82077,0.000195569,0.000195569,0.000195569
8,62.8256,0.5528,3.67715,0.93988,0.33047,0.28317,0.09702,0.08779,0.42607,3.31796,0.82973,0.000195414,0.000195414,0.000195414
9,70.3677,0.52734,3.47274,0.9272,0.48262,0.15755,0.10708,0.09806,0.42449,3.04868,0.82664,0.000195235,0.000195235,0.000195235
10,77.8763,0.57354,3.36515,0.97213,0.55915,0.12836,0.1265,0.11391,0.43908,2.91789,0.84307,0.000195032,0.000195032,0.000195032
11,85.5238,0.53759,3.18736,0.94678,0.42849,0.25282,0.14411,0.13114,0.42664,2.85099,0.84373,0.000194806,0.000194806,0.000194806
12,93.0501,0.54733,3.05403,0.97102,0.39459,0.26639,0.17475,0.15742,0.43323,2.6146,0.87637,0.000194555,0.000194555,0.000194555
13,100.73,0.54148,2.93049,0.95332,0.42105,0.26431,0.20343,0.18228,0.46218,2.52199,0.90901,0.000194282,0.000194282,0.000194282
14,108.258,0.53879,2.90552,0.95931,0.46433,0.31263,0.20561,0.18334,0.4411,2.36619,0.8902,0.000193984,0.000193984,0.000193984
15,115.819,0.50439,2.71951,0.95521,0.47992,0.34849,0.23297,0.21476,0.42732,2.36275,0.89254,0.000193663,0.000193663,0.000193663
16,123.461,0.54224,2.7122,0.96615,0.49795,0.31741,0.28717,0.25838,0.45697,2.2479,0.90145,0.000193319,0.000193319,0.000193319
17,131.097,0.51372,2.588,0.95275,0.5017,0.29592,0.30873,0.28401,0.41892,2.12472,0.88359,0.000192952,0.000192952,0.000192952
18,138.581,0.48109,2.45752,0.93975,0.41287,0.39924,0.32633,0.29752,0.43872,2.0965,0.91041,0.000192561,0.000192561,0.000192561
19,146.097,0.50153,2.50703,0.96443,0.40482,0.39809,0.34006,0.31243,0.42592,2.03563,0.9094,0.000192148,0.000192148,0.000192148
20,153.706,0.49217,2.32158,0.95123,0.67172,0.28371,0.35864,0.32757,0.44073,1.91289,0.90437,0.000191711,0.000191711,0.000191711
21,161.271,0.49274,2.2628,0.94791,0.50806,0.38699,0.41273,0.37995,0.42704,1.83952,0.9082,0.000191252,0.000191252,0.000191252
22,168.906,0.49259,2.2275,0.952,0.49882,0.39299,0.40515,0.37428,0.42702,1.74375,0.91152,0.000190769,0.000190769,0.000190769
23,176.499,0.48015,2.17326,0.95263,0.58082,0.40492,0.44708,0.41196,0.41208,1.68753,0.8941,0.000190264,0.000190264,0.000190264
24,184.119,0.47869,2.11681,0.95784,0.4167,0.52468,0.46702,0.43045,0.42516,1.61237,0.89717,0.000189737,0.000189737,0.000189737
25,191.647,0.47384,2.09854,0.9306,0.54473,0.52121,0.51259,0.47094,0.41647,1.50728,0.9013,0.000189187,0.000189187,0.000189187
26,199.178,0.46069,1.91601,0.94429,0.54099,0.5019,0.51379,0.47365,0.40979,1.48054,0.89607,0.000188615,0.000188615,0.000188615
27,206.742,0.4732,1.90322,0.94721,0.47419,0.5365,0.52644,0.4879,0.40515,1.43315,0.89869,0.000188021,0.000188021,0.000188021
28,214.393,0.46997,1.88287,0.94385,0.51619,0.54845,0.56264,0.52,0.40462,1.40642,0.89843,0.000187404,0.000187404,0.000187404
29,221.921,0.45698,1.79982,0.95572,0.5049,0.59626,0.58608,0.54216,0.41987,1.3717,0.90468,0.000186766,0.000186766,0.000186766
30,229.87,0.461,1.78789,0.95822,0.51403,0.63635,0.62508,0.58011,0.40035,1.32253,0.89293,0.000186107,0.000186107,0.000186107
31,237.825,0.44604,1.74638,0.94369,0.59145,0.62878,0.64828,0.59789,0.41565,1.27752,0.9093,0.000185425,0.000185425,0.000185425
32,245.502,0.4495,1.68464,0.9443,0.49746,0.66151,0.64287,0.59448,0.40359,1.27305,0.89039,0.000184723,0.000184723,0.000184723
33,253.017,0.4463,1.65321,0.93686,0.61546,0.67131,0.67321,0.62544,0.39803,1.22862,0.87623,0.000183999,0.000183999,0.000183999
34,260.539,0.44174,1.5892,0.93314,0.60811,0.65724,0.68765,0.63596,0.40488,1.165,0.89378,0.000183255,0.000183255,0.000183255
35,268.06,0.40966,1.49318,0.90819,0.70123,0.6238,0.68783,0.63325,0.40028,1.23616,0.88202,0.000182489,0.000182489,0.000182489
36,275.552,0.44854,1.5672,0.92977,0.73379,0.62734,0.69915,0.65537,0.38231,1.20281,0.86246,0.000181703,0.000181703,0.000181703
